0.171,0.194,0.364,0.111,0.131,0.242,0.119,0.126,0.246
0.186,0.195,0.381,0.104,0.115,0.220,0.112,0.114,0.226
0.198,0.144,0.341,0.127,0.082,0.209,0.165,0.081,0.247
0.148,0.243,0.391,0.106,0.164,0.270,0.099,0.152,0.252
0.165,0.229,0.394,0.103,0.159,0.262,0.105,0.152,0.256
0.190,0.184,0.373,0.125,0.094,0.219,0.124,0.098,0.221
0.175,0.256,0.431,0.108,0.166,0.274,0.109,0.167,0.276
0.146,0.190,0.336,0.090,0.095,0.185,0.090,0.090,0.180
0.166,0.188,0.354,0.101,0.106,0.207,0.102,0.108,0.210
0.158,0.174,0.332,0.105,0.098,0.202,0.104,0.096,0.200
0.160,0.186,0.347,0.104,0.105,0.209,0.101,0.109,0.210
0.139,0.203,0.342,0.098,0.149,0.247,0.096,0.149,0.245
0.189,0.204,0.393,0.113,0.124,0.237,0.112,0.128,0.240
0.195,0.240,0.435,0.102,0.136,0.239,0.099,0.135,0.234
0.177,0.191,0.368,0.109,0.088,0.197,0.103,0.092,0.194
0.160,0.185,0.345,0.089,0.113,0.202,0.094,0.118,0.213
0.143,0.203,0.347,0.118,0.136,0.254,0.116,0.145,0.261
0.198,0.172,0.370,0.113,0.101,0.214,0.141,0.116,0.257